Summary,Issue Type,Priority,Labels,Original Estimate,Description,Acceptance Criteria,Definition of Done
"[P0] AuthContext test paketi ekle",Task,Highest,"auth,testing,reliability","1-2d","Email login, Google callback, demo login, logout ve rate limit akislarini testle guvenceye al.","Email login basari/basarisizlik testleri yesil; Google callback code/token hata yollari kapsandi; Demo login isAuthenticated=true; Logout sonrasi auth state ve account scope temiz.","npm run test -- --run src/tests/AuthContext.test.tsx gecer."
"[P0] Cloud sync conflict korumasi",Story,Highest,"sync,data-integrity,backend","2-3d","Coklu cihaz duzenlemelerinde sessiz veri ezilmesini engellemek icin conflict kurali ekle.","Entity payload'larinda updatedAt/version var; Pull sirasinda local-cloud versiyon karsilastirmasi var; Cakisma halinde deterministic kural calisir.","useFinance persistence testlerine conflict senaryolari eklendi ve gecti."
"[P0] Cloud yazim retry + gorunur hata",Task,Highest,"sync,ux,reliability","1-2d","Fire-and-forget cloud yazimlarina retry ve hata gorunurlugu ekle.","upsert/delete cloud yazimlari max 3 deneme yapar; Tum denemeler basarisizsa kullaniciya net durum mesaji gorunur; Local-first davranis korunur.","Mock Supabase ile retry sayisi ve hata metni testte dogrulandi."
"[P1] Premium otoritesini server-first yap",Task,High,"premium,security,auth","1-2d","Premium plani birincil olarak Supabase subscription kaynagina bagla.","resolveSubscriptionPlan oncelikle Supabase row kullanir; Env override sadece debug bayragi acikken devrede; Fallback sebebi loglanir.","premium testleri server-first davranisi dogrular."
"[P1] AuthContext moduler refaktor",Task,High,"auth,maintainability,refactor","2-4d","Buyuk auth dosyasini email, google ve session alt modullerine bol.","Public API (useAuth) bozulmadi; Email/Google/session logic ayrik modullere tasindi; Tum mevcut auth testleri yesil.","Yeni moduller icin birim test eklendi."
"[P1] Landing auth-first sadelestirme v2",Task,High,"ui,ux,conversion","1d","Giris donusumu icin CTA hiyerarsisini daha keskin hale getir.","Birincil CTA tek, Google ikincil, Demo tersiyer; Premium mesaji giris sonrasi baglama kaydirildi; Guven mikro-kopyasi korunuyor.","pageBehavior testinde auth CTA akisi yesil."
"[P2] Currency + premiumInsights edge-case hardening",Task,Medium,"utils,performance,stability","1-2d","GOLD rate edge-case ve buyuk veri performansini guclendir.","GOLD rate 0/undefined durumunda guvenli fallback var; premiumInsights buyuk listelerde sinirli sure/pencereleme ile calisir.","ilgili unit testlere edge-case senaryolari eklendi."
"[P2] AppChrome nav indicator guvenligi",Bug,Medium,"ui,navigation,resilience","0.5-1d","Route degisimi/resize siralarinda indicator hesaplama guvenligini artir.","Null ref ve stale layout guardlari var; Indicator fallback ile crash olmadan calisir.","En az bir integration testi route degisiminde crash olmadigini dogrular."
"[P2] Settings ekraninda sync health gorunurlugu",Task,Medium,"settings,sync,ux","1d","Sync acik/kapali/basarisiz durumunu daha seffaf goster.","Son pull/push zamani gorunur; Son hata nedeni gorunur; Offline mod acikca etiketlenir.","Settings davranis testi yeni durum etiketlerini dogrular."
"[P3] Auth + premium smoke otomasyonu",Task,Low,"e2e,release,qa","1-2d","Release sonrasi kritik akislari yari-otomatik/otomatik smoke testlere bagla.","En az bir e2e: login, guarded route, premium yonlendirme, logout; Tek komutla calisir.","E2E pass raporu release notuna eklenebilir."
